이름,카테고리,주소,위도,경도,전화번호,링크
피노키오냉면,분식>종합분식,서울특별시 노원구 한글비석로 474 보람상가,37.6648548,127.0654931,,
쪼매매운떡볶이 공릉,분식>떡볶이,서울특별시 노원구 공릉로 208,37.6281849,127.0778159,,
수유리우동집 상계점,"음식점>일식>우동,소바",서울특별시 노원구 덕릉로83길 18 1층 수유리우동집,37.6601098,127.0744096,,https://blog.naver.com/jungssidago?categoryNo=7
우리할매떡볶이 공릉점,음식점>분식,서울특별시 노원구 동일로180길 59 1층 02호,37.6229032,127.0775499,,https://www.instagram.com/wehalmae_gongneung/
구법원고로케 노원역2호점,"카페,디저트>베이커리",서울특별시 노원구 상계로1길 8 1층 102호,37.6562219,127.0617850,,https://old-court-croquette.wywh.co.kr/
파리바게뜨 마들역점,"카페,디저트>베이커리",서울특별시 노원구 동일로 1545 1층,37.6663815,127.0570880,,https://www.paris.co.kr/
나폴레옹과자점 롯데백화점 노원점,"카페,디저트>베이커리",서울특별시 노원구 동일로 1414 지하1층,37.6548283,127.0609720,,https://napoleonbakery.co.kr/
파리바게뜨 상계역점,"카페,디저트>베이커리",서울특별시 노원구 한글비석로 384 대호아파트 상가동 111호,37.6601016,127.0732807,,https://www.paris.co.kr/
제임스키친,"이탈리아음식>스파게티,파스타전문",서울특별시 노원구 노해로81길 12-26 삼원빌딩 2층,37.6556124,127.0642272,,https://www.instagram.com/james._.kitchen
투파인드피터 노원점,음식점>양식>이탈리아음식,서울특별시 노원구 상계로1길 34 1층,37.6575116,127.0617088,,https://www.instagram.com/tofindpeter_nowon
카페 기차가 있는 풍경,"음식점>카페,디저트",서울특별시 노원구 화랑로 608,37.6239171,127.0928667,,http://instagram.com/nowontraincafe
코타브레드,"카페,디저트>베이커리",서울특별시 노원구 공릉로 165 코타브레드,37.6247402,127.0794729,,http://instagram.com/kotabread_
브런힐,음식점>브런치,서울특별시 노원구 중계로8길 48 1층,37.6462832,127.0847181,,https://blog.naver.com/brolo
동적깡통구이 쌍문본점,"음식점>한식>육류,고기요리",서울특별시 도봉구 도봉로109길 30,37.6470205,127.0317011,,https://www.instagram.com/dongjeok_main
버거킹 쌍문점,양식>햄버거,서울특별시 도봉구 도당로 6,37.6586497,127.0352601,,http://www.burgerking.co.kr/
후타츠 쌍문본점,음식점>일식>일본식라면,서울특별시 도봉구 도봉로110길 9 1층,37.6463848,127.0341111,,https://www.instagram.com/hutatsu_ssangmun
섭생정식 창동본점,음식점>한식,서울특별시 도봉구 노해로 341 1층 101호,37.6513433,127.0456363,,https://booking.naver.com/booking/6/bizes/879905
하누소 창동본점,한식>소고기구이,서울특별시 도봉구 노해로 327,37.6515124,127.0448206,,https://www.hanuso.co.kr/
스타벅스 창동이마트점,"카페,디저트>카페",서울특별시 도봉구 노해로65길 4 (창동),37.6516584,127.0468659,,http://www.starbucks.co.kr/
스타벅스 쌍문도봉로점,"카페,디저트>카페",서울특별시 도봉구 도봉로 444 (창동),37.6453759,127.0331456,,http://www.starbucks.co.kr/
스타벅스 방학역점,"카페,디저트>카페","서울특별시 도봉구 도봉로 684 (방학동)101,102,113,114,115호",37.6653125,127.0433125,,http://www.starbucks.co.kr/
파리바게뜨 쌍문신원점,"카페,디저트>베이커리",서울특별시 도봉구 해등로 190 신원주상복합2차아파트 신원프라자,37.6581635,127.0356027,,https://www.paris.co.kr/
메가MGC커피 쌍문점,"카페,디저트>카페",서울특별시 도봉구 도봉로 457 1층,37.6466777,127.0332362,,
고기굽는베베,"한식>육류,고기요리",서울특별시 도봉구 도봉로 723,37.6691316,127.0432372,,https://www.youtube.com/channel/UC68Vo9ML9eyrF6UrNeSqg7g
소통애 창동본점,"한식>육류,고기요리",서울특별시 도봉구 도봉로136가길 73 104동 107호,37.6554896,127.0424164,,https://blog.naver.com/redjjang7
무수옥 도봉본점,음식점>한식,서울특별시 도봉구 도봉로165길 15 무수옥,37.6771561,127.0441842,,https://litt.ly/musuok6292
미스터빽실장 쌍문본점,한식>생선회,서울특별시 도봉구 도봉로 458 1층 미스터빽실장,37.6465498,127.0338876,,https://baemin.me/pt8IuqvCik
스마일닭강정,"음식점>치킨,닭강정",서울특별시 도봉구 노해로 269 1층,37.6516778,127.0380132,,https://www.instagram.com/smilechicken_/
부산어묵,"술집>오뎅,꼬치",서울특별시 도봉구 도봉로 964-40,37.6891205,127.0465288,,
육회바른연어 쌍문점,술집>요리주점,서울특별시 도봉구 도봉로110나길 27 1층 101호,37.6474053,127.0349630,,https://yby.co.kr
방학동포차마을,술집>포장마차,서울특별시 도봉구 방학로17길 6 방학동포차마을,37.6618084,127.0228200,,https://www.instagram.com/pochavillage
대문한정식,한식>한정식,서울특별시 도봉구 시루봉로 139-6,37.6637487,127.0275749,,https://www.instagram.com/bang_hak_daemoo
은행골,"음식점>일식>초밥,롤",서울특별시 도봉구 마들로 684,37.6709759,127.0466249,,https://blog.naver.com/namjuhwa
쉐프마인드,음식점>일식>일식당,서울특별시 도봉구 노해로 384 동아아파트 상가 1층 30호 쉐프마인드,37.6520848,127.0509980,,https://youtube.com/@my_own_chef
점순이하우스,분식>종합분식,서울특별시 도봉구 노해로63길 84-3,37.6527003,127.0469032,,
명동분식 방학본점,분식>종합분식,서울특별시 도봉구 도당로13가길 6 도깨비시장 명동분식,37.6655143,127.0358318,,
김밥나라 도봉점,음식점>분식,서울특별시 도봉구 도봉로181길 6,37.6839370,127.0456330,,
도레미분식 즉석떡볶이,분식>떡볶이,서울특별시 도봉구 삼양로144길 18,37.6513487,127.0138750,,http://instagram.com/doremi__yum
우리할매떡볶이 방학점,음식점>분식,서울특별시 도봉구 도봉로152길 32 1층 102호,37.6693489,127.0456032,,http://wehalmae.co.kr/
파리바게뜨 쌍문역점,"카페,디저트>베이커리",서울특별시 도봉구 도봉로 473 파리바게뜨,37.6480401,127.0340838,,http://www.paris.co.kr/
파리바게뜨 방학선덕점,"카페,디저트>베이커리",서울특별시 도봉구 시루봉로 67 (방학동) 청구아파트 상가,37.6568072,127.0276818,,https://www.paris.co.kr/
파리바게뜨 창동역동부점,"카페,디저트>베이커리","서울특별시 도봉구 마들로11길 73 콤마프라자 1층 105,106호",37.6533445,127.0491602,,https://www.paris.co.kr/
파리바게뜨 창동역서부점,"카페,디저트>베이커리",서울특별시 도봉구 노해로63길 79 (창동),37.6530742,127.0464992,,https://www.paris.co.kr/
와겐커피,브런치카페,서울특별시 도봉구 도봉로150마길 15,37.6667186,127.0450445,,
블루밍,음식점>양식,서울특별시 도봉구 도봉로110다길 38 204동102호,37.6448369,127.0333242,,http://www.instagram.com/kim_.ming
오이오 oio,브런치카페,서울특별시 도봉구 삼양로162길 51-7 1층,37.6577638,127.0165522,,https://www.instagram.com/oio_cafebar
콩디망,음식점>양식,서울특별시 도봉구 해등로16길 52-36 기봉빌딩 1층 102호,37.6547401,127.0435862,,https://www.instagram.com/condiment.bnc
기살림 창동점 토브,"음식점>카페,디저트",서울특별시 도봉구 해등로 41,37.6477896,127.0436799,,
롯데백화점 청량리점,"쇼핑,유통>백화점",서울특별시 동대문구 왕산로 214,37.5807360,127.0475117,,https://www.lotteshopping.com/store/main?cstrCd=0004
독립밀방 청량리,음식점>양식,서울특별시 동대문구 왕산로 214 청량리역사 3층 308호,37.5805062,127.0485255,,http://www.instagram.com/dongnip_millbang
나정순할매쭈꾸미,한식>주꾸미요리,서울특별시 동대문구 무학로 144,37.5771000,127.0306874,,
버거킹 장안SK점,양식>햄버거,서울특별시 동대문구 한천로 100,37.5702150,127.0650209,,
스타벅스 경동1960점,"카페,디저트>카페",서울특별시 동대문구 고산자로36길 3,37.5796141,127.0386849,,http://www.starbucks.co.kr/
스타벅스 장한평역점,"카페,디저트>카페",서울특별시 동대문구 장한로 10 (장안동),37.5622981,127.0654062,,http://www.starbucks.co.kr/
스타벅스 답십리역점,"카페,디저트>카페",서울특별시 동대문구 천호대로 263 (답십리동),37.5684660,127.0511060,,http://www.starbucks.co.kr/
스타벅스 청량리역사점,"카페,디저트>카페",서울특별시 동대문구 왕산로 214 (전농동) 청량리역사 Connect Place6층,37.5805653,127.0485648,,http://www.starbucks.co.kr/
삼삼뼈국 회기점,음식점>한식,서울특별시 동대문구 망우로21길 52 C동 1층,37.5903946,127.0604232,,https://33soup.co.kr
서파넓적갈비 용두점,"한식>육류,고기요리",서울특별시 동대문구 천호대로31길 16 탑빌딩 1층,37.5742256,127.0407500,,https://www.instagram.com/seopa_galbi
호감해장,한식>해장국,서울특별시 동대문구 홍릉로1길 17 1층 제 15호 호감해장,37.5807452,127.0438819,,https://www.instagram.com/hogam_haejang
제주미향해장 본점,한식>해장국,서울특별시 동대문구 경동시장로10길 46 1층,37.5812891,127.0432545,,https://www.instagram.com/jejumihyang_cheongnyangni/
영동교집 장안직영점,"음식점>한식>육류,고기요리>돼지고기구이",서울특별시 동대문구 천호대로83길 32,37.5633787,127.0652884,,https://www.instagram.com/mukyang2food
거복이식당 회기 본점,한식>돼지고기구이,서울특별시 동대문구 경희대로3길 6,37.5927676,127.0521778,,http://www.instagram.com/geobokye_sikdang
육회바른연어 경희대점,술집>요리주점,서울특별시 동대문구 경희대로3길 5 1층 육회바른연어,37.5926212,127.0521171,,https://www.instagram.com/yby_official_/
호텔글로리 회기본점,술집>요리주점,서울특별시 동대문구 경희대로1길 9 2층 호텔글로리 회기본점,37.5916410,127.0515942,,https://app.catchtable.co.kr/ct/shop/hotelglory
가치로아,음식점>일식>일식당,서울특별시 동대문구 망우로21길 63 1층,37.5900849,127.0596525,,https://www.instagram.com/gachiroa?igsh=YW5kNmc0YXd5Y3Zy
몽월 장안본점,술집>요리주점,서울특별시 동대문구 천호대로83길 3 10층,37.5625436,127.0641423,,https://www.instagram.com/mong_weol
본참치,한식>생선회,서울특별시 동대문구 장한로 20 2층,37.5630162,127.0659756,,
함경면옥,음식점>한식,서울특별시 동대문구 왕산로 87,37.5784620,127.0331421,,
일등수산,한식>생선회,서울특별시 동대문구 전농로10길 20,37.5746632,127.0584739,,
대가참치,한식>생선회,서울특별시 동대문구 천호대로85길 11 대가참치,37.5626419,127.0661158,,
싸다김밥 답십리역점,음식점>분식,서울특별시 동대문구 전농로 12,37.5659937,127.0559432,,https://ssadagb.com
스토리웨이 도봉산역맞이방분식점,분식>종합분식,서울특별시 동대문구 회기로26길 15,37.5902492,127.0532223,,
의정부맞이방스넥점,분식>종합분식,서울특별시 동대문구 왕산로 214,37.5813870,127.0489790,,
놀부만두,분식>만두,"서울특별시 동대문구 망우로16길 15 1F, 놀부만두",37.5893787,127.0614705,,
서울김밥 장안점,분식>김밥,서울특별시 동대문구 답십리로72길 24 1층 서울김밥,37.5710390,127.0740230,,
삼송빵집 청량리역사점,"카페,디저트>베이커리",서울특별시 동대문구 왕산로 214 3층 317호,37.5805028,127.0476092,,https://blog.naver.com/samsongbakery1957
본노엘 답십리,"카페,디저트>베이커리",서울특별시 동대문구 전농로 75-18 1층,37.5717945,127.0562242,,https://s.baemin.com/9z4.wul0t
빵들의 수다 롯데슈퍼 전농점,"카페,디저트>베이커리",서울특별시 동대문구 사가정로 148,37.5777394,127.0609386,,
파리바게뜨 장한평점,"카페,디저트>베이커리",서울특별시 동대문구 장한로2길 7,37.5622273,127.0657252,,http://www.paris.co.kr/
더몰트하우스 청량리역점,음식점>양식>이탈리아음식,서울특별시 동대문구 고산자로32길 78 청량리역 한양수자인 그라시엘 2층 209호~211호,37.5774787,127.0438069,,https://www.instagram.com/the_malthouse_cheongnyang
뚜띠쿠치나 용두점,음식점>이탈리아음식,서울특별시 동대문구 무학로 140,37.5768289,127.0307459,,http://tutticucina.net/menu1.php
망우로30,"카페,디저트>카페",서울특별시 동대문구 망우로 30-1 1층,37.5880242,127.0568190,,https://smartstore.naver.com/manguro30
런치백,"음식점>카페,디저트",서울특별시 동대문구 왕산로9길 25 1층,37.5782277,127.0276529,,
베브릿지 한국외대점,"음식점>카페,디저트>카페",서울특별시 동대문구 휘경로 4-10,37.5959182,127.0603186,,https://www.worldbebridge.co.kr/
애플하우스,분식>떡볶이,서울특별시 동작구 동작대로27다길 29 2층,37.4863013,126.9806796,,
스시로로,"음식점>일식>초밥,롤",서울특별시 동작구 동작대로23길 29 1층,37.4841328,126.9801198,,https://blog.naver.com/mot202202
쟝블랑제리 이수직영점,"카페,디저트>베이커리",서울특별시 동작구 동작대로23길 8,37.4843861,126.9813507,,
빕스 대방점,음식점>패밀리레스토랑,서울특별시 동작구 노량진로 2 VIPS 대방점,37.5122323,126.9257768,,http://www.ivips.co.kr/
맥도날드 노량진점,양식>햄버거,서울특별시 동작구 노량진로 158 정진학원,37.5134976,126.9435621,,https://www.mcdonalds.co.kr/
스타벅스 사당역점,"카페,디저트>카페",서울특별시 동작구 동작대로 21 양지빌딩 1-3층 (사당동),37.4784102,126.9814230,,http://www.starbucks.co.kr/
스타벅스 신대방삼거리역점,"카페,디저트>카페",서울특별시 동작구 상도로 102 (상도동),37.5003487,126.9319875,,http://www.starbucks.co.kr/
스타벅스 보라매공원R점,"카페,디저트>카페","서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)",37.4919101,126.9235483,,http://www.starbucks.co.kr/
타요키즈카페 보라매점,"키즈카페,실내놀이터",서울특별시 동작구 보라매로5가길 16 보라매아카데미타워 6층,37.4911449,126.9238913,,http://pf.kakao.com/_dhVgj
청와옥 사당직영점,"음식점>한식>육류,고기요리>순대,순댓국",서울특별시 동작구 동작대로 71,37.4828555,126.9816559,,https://www.instagram.com/cheongwaok/
육태기 사당본점,"한식>육류,고기요리",서울특별시 동작구 사당로30길 115 1층,37.4797403,126.9808177,,https://kko.to/EKipNCu4Gj
서일순대국,"한식>순대,순댓국",서울특별시 동작구 여의대방로22길 20,37.4974702,126.9209446,,
화설 이수직영점,"한식>육류,고기요리",서울특별시 동작구 동작대로25길 13 1~2층,37.4862698,126.9812202,,https://app.catchtable.co.kr/ct/shop/hwaseol.isu
고반식당 이수역점,"음식점>한식>육류,고기요리",서울특별시 동작구 동작대로27가길 15,37.4868248,126.9812103,,
전주전집,"술집>전통,민속주점",서울특별시 동작구 동작대로7길 19,37.4796493,126.9806116,,
양복점 사당점,중식>양꼬치,서울특별시 동작구 사당로30길 108 1층,37.4800148,126.9807010,,https://www.instagram.com/yangbokjeom/
윤공 Korean Bistro,술집>요리주점,서울특별시 동작구 사당로30길 158 1층,37.4778694,126.9806109,,https://www.instagram.com/yoongong_sadang
이곱착한고기 사당본점,"한식>육류,고기요리",서울특별시 동작구 동작대로3길 6,37.4784778,126.9811425,,
꿀때기곱창,"한식>곱창,막창,양",서울특별시 동작구 동작대로7길 84 1층,37.4777841,126.9781198,,
손선장 노량진점,한식>생선회,서울특별시 동작구 노들로 674 남3문 활어 17-19호/38-39호 손선장,37.5146821,126.9385812,,https://captainson.co.kr/
김재운 초밥사랑 이수점,"음식점>일식>초밥,롤",서울특별시 동작구 동작대로 69 1층,37.4827041,126.9816310,,
스시준 노량진점,음식점>일식>일식당,서울특별시 동작구 만양로14길 20 1층,37.5116733,126.9454208,,https://www.instagram.com/sushi_joon_noryangjin
푸른바다,한식>생선회,"서울특별시 동작구 노들로 674 노량진수산시장 2층 활어 2-16, 2-17호",37.5148693,126.9368431,,http://instagram.com/chaehyoyoung
노량진수산시장 독도수산,한식>생선회,"서울특별시 동작구 노들로 674 노량진수산시장 1층 2호, 3호, 4호",37.5148693,126.9368431,,https://www.dokdofisheries.com/
이삭토스트 신대방삼거리역점,분식>토스트,서울특별시 동작구 국사봉1길 7,37.4989692,126.9289469,,https://smartorder.beaverworksinc.com/brand/901216
김밥나라 남성역점,음식점>분식,서울특별시 동작구 사당로 196,37.4850459,126.9698243,,
삼삼가마솥돈까스앤칡불냉면 노량진본점,음식점>일식>돈가스,서울특별시 동작구 만양로 90-1 1층,37.5114974,126.9444414,,
방배김밥 본점,분식>김밥,서울특별시 동작구 동작대로27길 59-16,37.4881355,126.9783882,,https://bbkb.co.kr/
파리바게뜨 성대시장점,"카페,디저트>베이커리",서울특별시 동작구 상도로 102 성대시장 1층,37.5001288,126.9321473,,http://www.paris.co.kr/
파리바게뜨 신대방삼거리역점,"카페,디저트>베이커리",서울특별시 동작구 국사봉1길 4,37.4988196,126.9287528,,http://www.paris.co.kr/
파리바게뜨 이수태평점,"카페,디저트>베이커리",서울특별시 동작구 동작대로27가길 6 백경빌딩,37.4873090,126.9810669,,http://www.paris.co.kr/
시간을 들이다,"카페,디저트>베이커리",서울특별시 동작구 보라매로 80 1층,37.4965256,126.9279875,,http://smartstore.naver.com/028122158
신라스테이 구로 카페,음식점>뷔페,서울특별시 동작구 시흥대로 596 신라스테이구로 2층,37.4856425,126.9043083,,https://www.shillastay.com/guro/dining/viewDining.do?contId=CAFE
닥터로빈 흑석점,양식>이탈리아음식,"서울특별시 동작구 현충로 124 1F, 2F",37.5061925,126.9671585,,https://drrobbin.com/
세녹,"카페,디저트>홍차전문점",서울특별시 동작구 사당로 304,37.4848888,126.9813417,,
더플라잉팬 부강탕,"카페,디저트>베이커리",서울특별시 동작구 상도로34길 7 부강탕,37.5043599,126.9459627,,https://blog.naver.com/bugangtang
미쁘동 연남본점,음식점>일식>일식당,서울특별시 마포구 동교로38길 33-21 2층,37.5621119,126.9262048,,https://www.mibbedong.com/
우이락 망원본점,음식점>한식,서울특별시 마포구 포은로8길 22 우이락 망원본점,37.5564437,126.9059919,,https://wooyirak.com/main
프릳츠 도화점,"음식점>카페,디저트",서울특별시 마포구 새창로2길 17,37.5410245,126.9490444,,http://www.fritz.co.kr/
연남동 베르데,"음식점>멕시코,남미음식",서울특별시 마포구 동교로 262-6 1층,37.5628313,126.9254121,,https://www.threads.net/@mexicangrill_verde
츠케루,음식점>일식>일본식라면,서울특별시 마포구 와우산로23길 9 1층 102호,37.5533814,126.9245307,,http://instagram.com/tsukeru_tsukemen
랜디스도넛 연남점,"음식점>카페,디저트>도넛",서울특별시 마포구 동교로 247,37.5620628,126.9242188,,https://www.instagram.com/randysdonuts1952kr/
베이글랜드 홍대점,"음식점>카페,디저트",서울특별시 마포구 와우산로29바길 19 삼이빌딩 1층,37.5554909,126.9259638,,https://www.instagram.com/_bagelland/
어글리베이커리,"카페,디저트>베이커리",서울특별시 마포구 월드컵로13길 73 1층 어글리 베이커리,37.5550335,126.9060383,,http://www.instagram.com/uglybakery
수상한베이글 홍대,"카페,디저트>카페",서울특별시 마포구 와우산로15길 22,37.5496284,126.9218429,,https://www.instagram.com/susanghan_bagel
홍대 육지,"한식>육류,고기요리",서울특별시 마포구 독막로3길 34 1F,37.5497425,126.9174273,,https://www.instagram.com/plzloveyookji
곱 마포직영점,"한식>곱창,막창,양",서울특별시 마포구 도화길 31-1,37.5410047,126.9493851,,https://www.instagram.com/gop.mapo/
을밀대 평양냉면,한식>냉면,서울특별시 마포구 숭문길 24,37.5474904,126.9455004,,
금성회관 합정본점,"한식>육류,고기요리",서울특별시 마포구 양화로6길 78 1층,37.5483547,126.9184193,,http://www.gumseong.com/
육몽 홍대본점,"한식>육류,고기요리",서울특별시 마포구 양화로16길 19 1-3층,37.5531962,126.9206933,,
오시 망원본점,음식점>일식>일식당,서울특별시 마포구 월드컵로17길 48 지 1층 오시 망원본점,37.5552402,126.9077398,,https://www.instagram.com/oshi_official.kr/
연남동와이탑,음식점>양식,"서울특별시 마포구 성미산로 163 2층, 3층",37.5649025,126.9242773,,https://www.instagram.com/yeonnamdong_ytop
카쿠시타,술집>이자카야,서울특별시 마포구 동교로38길 33-15 지하1층,37.5618788,126.9261158,,http://www.instagram.com/kakusita_izakaya
우월소곱창 마포직영점,"한식>곱창,막창,양","서울특별시 마포구 마포대로 73 1층 111, 112, 113호",37.5422382,126.9489664,,http://pf.kakao.com/_uWUaG
숙성회 화도,한식>생선회,서울특별시 마포구 독막로6길 5 1층 숙성회 화도,37.5476934,126.9177010,,https://app.catchtable.co.kr/ct/shop/hwado
하와이조개 홍대점,"음식점>한식>해물,생선요리>조개요리",서울특별시 마포구 와우산로21길 19-8 태경빌딩 지하 1층,37.5520582,126.9225911,,http://www.하와이조개.com
더기와 합정점,음식점>한식,서울특별시 마포구 독막로3길 25 1층,37.5495714,126.9169059,,https://litt.ly/thegiwa_hapjeong?utm_source=naver&utm_medium=place&utm_campaign=기본세팅
그동네떡볶이 연남점,분식>종합분식,서울특별시 마포구 동교로 243 1층,37.5616751,126.9241019,,
떡볶이상회,술집>요리주점,서울특별시 마포구 어울마당로 143-3 1층,37.5566160,126.9256421,,https://instagram.com/tteoksang_?igshid=YmMyMTA2M2Y=
또보겠지떡볶이집 붕붕허니비점,음식점>분식,서울특별시 마포구 양화로19길 22-25 2층,37.5589783,126.9244242,,https://app.catchtable.co.kr/ct/shop/ddobogessji?from=share&type=WAITING
홍대조폭떡볶이 홍대2호점,분식>떡볶이,서울특별시 마포구 홍익로6길 38 1층,37.5558918,126.9237556,,
홍대씨부엉,분식>떡볶이,서울특별시 마포구 와우산로21길 28-6,37.5525889,126.9223397,,
카페 공명 연남점,"음식점>카페,디저트",서울특별시 마포구 연희로 11 1층 카페 공명 연남,37.5600309,126.9264344,,https://cafegm.kr/
코코로카라,"카페,디저트>베이커리",서울특별시 마포구 연남로1길 41,37.5598025,126.9209445,,http://kokorokara.store
어반플랜트 합정,브런치카페,서울특별시 마포구 독막로6길 35 어반플랜트 합정,37.5464712,126.9170914,,http://www.instagram.com/urbanplant_official/
치플레,"카페,디저트>베이커리",서울특별시 마포구 동교로 262-9 1층,37.5628286,126.9255953,,https://www.instagram.com/cheffle_official
스케줄합정,음식점>양식,서울특별시 마포구 양화로6길 33 1층,37.5490726,126.9160549,,https://litt.ly/schedule_hapjeong
라헬의부엌 홍대점,"음식점>카페,디저트","서울특별시 마포구 와우산로29길 47 1,2층",37.5556936,126.9273613,,http://instagram.com/hd_rachelskitchen
아민 이화,음식점>양식,서울특별시 서대문구 이화여대길 52-31,37.5594661,126.9447562,,https://app.catchtable.co.kr/ct/shop/we.salad.you_0
카츠업,음식점>일식>돈가스,서울특별시 서대문구 연세로5길 32 1층 카츠업,37.5563150,126.9353168,,https://blog.naver.com/katsup
만동제과 연남점,"카페,디저트>베이커리",서울특별시 서대문구 연희로 32,37.5615260,126.9272585,,https://m.smartstore.naver.com/mandongbread
카라멘야,음식점>일식>일본식라면,서울특별시 서대문구 연세로7안길 34-1 1층,37.5582219,126.9348727,,http://www.instagram.com/karamenya_i
프레퍼스 다이어트 푸드 신촌점,"도시락,컵밥>다이어트,샐러드",서울특별시 서대문구 명물길 4 1층 프레퍼스,37.5573032,126.9372694,,https://www.instagram.com/preppers.korea
스타벅스 홍제역점,"카페,디저트>카페",서울특별시 서대문구 통일로 451 (홍제동),37.5886580,126.9438640,,http://www.starbucks.co.kr/
네스프레소 본사,"쇼핑,유통>차,커피","서울특별시 서대문구 충정로 70 웨스트게이트타워 12층,16층",37.5648597,126.9663678,,http://www.nespresso.com/
스타벅스 신촌점,"카페,디저트>카페",서울특별시 서대문구 연세로 10-1 (창천동),37.5564857,126.9371155,,http://www.starbucks.co.kr/
주재근베이커리,"음식점>카페,디저트>베이커리",서울특별시 서대문구 통일로 438,37.5881661,126.9452632,,
대포찜닭 신촌본점,한식>찜닭,서울특별시 서대문구 연세로 27-1 대성빌딩 3층,37.5581395,126.9367166,,https://www.instagram.com/daepo_zzimdak/
담산 신촌본점,음식점>한식,서울특별시 서대문구 연세로5다길 5 1층 담산 신촌본점,37.5562707,126.9350591,,https://www.instagram.com/damsan_shinchon
한술식당 신촌점,음식점>한식,서울특별시 서대문구 연세로4길 40 1층,37.5578833,126.9388417,,https://www.instagram.com/hansul_sinchon/
리정원 연희점,"한식>육류,고기요리",서울특별시 서대문구 연희맛로 4,37.5658550,126.9286242,,
리정원 신촌점,"한식>육류,고기요리",서울특별시 서대문구 명물길 59 1층 리정원,37.5591466,126.9393882,,
스시도쿠 현대백화점 신촌점,음식점>일식>일식당,서울특별시 서대문구 신촌로 83 신촌점 10층,37.5559008,126.9356172,,
육회바른연어 홍대점,술집>요리주점,서울특별시 서대문구 신촌로 21 1층,37.5580276,126.9293216,,https://yby.co.kr
부엉이산장 신촌점,음식점>술집>요리주점,서울특별시 서대문구 연세로7길 17 1층 부엉이산장 신촌점,37.5575962,126.9357628,,https://www.instagram.com/owlmtcabin_sinchon
청담동포장마차 신촌본점,술집>요리주점,서울특별시 서대문구 연세로4길 25 1층 청담동포장마차,37.5574728,126.9380859,,https://app.catchtable.co.kr/ct/shop/CheongdamPojangmacha
철길부산집 신촌점,술집>요리주점,서울특별시 서대문구 연세로7안길 10-3 1층,37.5582473,126.9362462,,https://www.instagram.com/busanjip_sinchon
다성 대게킹크랩,한식>게요리,서울특별시 서대문구 신촌로11길 6,37.5569605,126.9330011,,
홍제상회,술집>요리주점,서울특별시 서대문구 세무서길 67 1층,37.5909638,126.9464261,,https://www.instagram.com/hongje_store
청송함흥냉면전문점,한식>냉면,서울특별시 서대문구 연희맛로 6,37.5659401,126.9287944,,
혼신꼬치 신촌점,술집>요리주점,서울특별시 서대문구 연세로7안길 1 1층,37.5577605,126.9362352,,https://www.instagram.com/honsin_kkochi
키친31,음식점>일식>일식당,서울특별시 서대문구 연세로11길 5 6층,37.5588758,126.9364723,,https://app.catchtable.co.kr/ct/shop/kitchen31?from=share&type=DINING
연희김밥 본점,분식>김밥,서울특별시 서대문구 연희로11가길 2,37.5680852,126.9294260,,
키친봄날,분식>김밥,서울특별시 서대문구 신촌로11길 62 1층 키친봄날,37.5589511,126.9344517,,
엄마손떡볶이,분식>떡볶이,서울특별시 서대문구 증가로10길 37,37.5789339,126.9241615,,
오렌지김밥 본점,분식>김밥,서울특별시 서대문구 세무서길 43-1 1층 오렌지김밥,37.5899197,126.9458807,,
불란집,분식>종합분식,서울특별시 서대문구 통일로 445,37.5884493,126.9442653,,
피터팬1978,"카페,디저트>베이커리",서울특별시 서대문구 증가로 10 1층,37.5693366,126.9317672,,https://www.instagram.com/peterpanbakery_1978
델리 세브란스점,"카페,디저트>베이커리",서울특별시 서대문구 연세로 50-1,37.5623446,126.9408265,,
파리바게뜨 카페신촌점,"카페,디저트>베이커리","서울특별시 서대문구 연세로4길 1 (창천동) 1,2층",37.5570604,126.9371105,,https://www.paris.co.kr/
그로어스,음식점>양식,서울특별시 서대문구 연희로27길 52,37.5723021,126.9333376,,https://catchtable.co.kr/growers
뽁식당 신촌점,음식점>양식,서울특별시 서대문구 연세로5나길 24 1층~4층,37.5570525,126.9348603,,https://app.catchtable.co.kr/ct/shop/bbok_sinchon
쿳사 연희,음식점>브런치,서울특별시 서대문구 증가로 48,37.5721602,126.9293336,,https://www.instagram.com/coottha_official
시그니처랩 현대백화점신촌점,음식점>양식,서울특별시 서대문구 신촌로 83 현대백화점 신촌점 10층 시그니처랩,37.5560172,126.9359432,,https://www.instagram.com/signature_lab/
더 리버사이드 호텔 뷔페 더가든키친,음식점>뷔페,서울특별시 서초구 강남대로107길 6 1층,37.5187347,127.0180825,,https://www.instagram.com/riversidehotel.korea/
탐라도야지 교대역본점,"한식>육류,고기요리",서울특별시 서초구 서초대로50길 82 정원빌딩,37.4896170,127.0136468,,https://tamnapig.jalib.site/
카츠공방 서초본점,음식점>일식>돈가스,서울특별시 서초구 효령로52길 1 1층,37.4841795,127.0128280,,http://www.katsukb.com
트라가 강남역점,음식점>스페인음식,서울특별시 서초구 강남대로55길 24 2층 201호 트라가,37.4956249,127.0256890,,https://app.catchtable.co.kr/ct/shop/TragaGangnam
쉐이크쉑 강남대로점,양식>햄버거,서울특별시 서초구 강남대로 421,37.5001017,127.0262223,,http://www.shakeshack.kr/
